"crop"
CM-count,Crop,Yield,sowing,harvest
[],[],[kgDM ha-1],[],[]
1,sugar beet/,25204.5,2011-05-02,2011-11-01
2,barley/spring barley,1710.2,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,24976,2014-04-20,2014-10-10
5,soybean/000,187.1,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,12173.5,2017-05-20,2017-09-15

"yearly"
Year,N_1,N_2,N_3,RunOff,NLeach,Recharge
[],[kgN m-3],[kgN m-3],[kgN m-3],[mm],[kgN ha-1],[mm]
2011,0.0311589,0.00692055,0.00740548,105.6,0.096,31.983
2012,0.0537213,0.0248251,0.0265874,107.3,0,0
2013,0.0108,0.00938904,0.0124192,0,5.69,78.777
2014,0.0552712,0.0131616,0.012274,47.8,28.01,94.061
2015,0.0319452,0.0127781,0.00950411,98.1,0,0
2016,0.0838907,0.0680628,0.031224,162.5,0,0
2017,0.0728132,0.0275604,0.0388388,0,0.056,22.626

"run"
Precip
[mm]
3716.74

